№№;Название;Фото;Категория;Количество, шт. ;Размеры (ВхШхГ);Материалы;Наименование;Заметки;Гарнитур;Оценка (агент TwoTables), за 1 шт. 
2;Кресло в классическом стиле с рисунком листьев;;Кресло;2;102x85x75;Каркас - дерево, обивка - ткань;Fine House Furniture, Reg.No 150450SFU, Main Body: JSX1228B-Y50;;;
3;Кресло в классическом стиле с мелким рисунком и резными элементами;;Кресло;2;111x75x70;Каркас - дерево, обивка - ткань;Вероятно, фабрика «Classic furniture Romanes»;Подушки в комплекте;Да, 2 дивана;120 000 ₽
4;Кресло в классическом стиле с тканевой обивкой и кожаной подушкой;;Кресло;2;107x75x100;Каркас - дерево, обивка - ткань, кожа;Romanes Classic Furniture;Подушки в комплекте;;120 000 ₽
5;Кресло рабочее на колесиках кожаное;;Кресло;1;102x85x75;Каркас - дерево, обивка - кожа;;;;60 000 ₽
6;Кресло с изогнутыми ножками и подушкой;;Кресло;1;;Каркас - дерево, обивка - ткань;;Подушка 1 шт. В комплекте;Да, оттоманка (п. 7);60 000 ₽
7;Табурет к креслу с подушкой;;Табурет;1;;Каркас - дерево, обивка - ткань;;Подушка 1 шт. В комплекте;Да, кресло (п. 6);
8;Стол винтажный ;;Стол;1;78x118x66;Каркас - массив, покрыто шпоном;;Ключа нет;;70 000 ₽
9;Тумба с выдвижными ящиками;;Тумба;1;72x46x46;Кракас - массив, столешница металл, покрыто кожей (?);Castilex (Филипины), 39091-450;;;
10;Стол журнальный с металлическим бортиком;;Стол журнальный;1;72x87x66;Каркас - дерево, столешница - шпон с металлической окантовкой;;;;
11;Тумба с ящиком и открывающейся крышкой;;Тумба;1;72x57x45;Каркас - массив, столешница - шпон;;Выдвижной ящик + открывающаяся столешница. Ключи отсутствуют, декоративные накладки замочных скважин лежат внутри. ;;40 000 ₽
12;Тумба на тонких ножках с кожаной столешницей;;Тумба;1;71x59x39;Каркас - массив, столешница покрыта кожей;;1 выдвижной ящик ;;40 000 ₽
13;Тумба с выдвижными ящиками;;Тумба;1;74x49x36;Каркас - массив, столешница - шпон;;3 выдвижных ящика;;40 000 ₽
14;Тумба овальная на изогнутых ножках с открывающейся крышкой;;Тумба;1;73x50x39;Каркас - массив, покрыто шпоном;;Крышка открывается, замок работает, ключ в наличии. Под крышкой - подушка для иголок и 6 ячеек с крышками;;30 000 ₽
15;Стол журнальный с металлическим бортиком;;Стол журнальный;1;77x66x66;Каркас - дерево, столешница - шпон с металлической окантовкой;;2 выдвижных ящика, металлическая решетка по периметру столешницы;;50 000 ₽
16;Стол журнальный черный с узором;;Стол журнальный;1;51x66x66;Дерево покрытое краской;;;;
